client_product,supplier_product,client_category,supplier_category,required_quantity,available_quantity,client_budget,supplier_unit_price,client_location,supplier_location,delivery_required,supplier_delivery_capability,match_label,label_rule
industrial metal components,steel brackets,Steel & Metals,Steel & Metals,4740,8025,686558,119,Pune Maharashtra,Pune,30 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,industrial metal components,Steel & Metals,Steel & Metals,3775,5737,880994,198,Pune,Pune,45 days,45 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,industrial metal components,Steel & Metals,Steel & Metals,7382,13370,720914,72,Chennai,Chennai,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,5482,10887,448492,77,Pune,Pune,14 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,5725,7073,781658,103,Pune Maharashtra,Pune Maharashtra,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,galvanized steel fasteners,Steel & Metals,Steel & Metals,5722,8515,495483,62,Pune Maharashtra,Pune,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,galvanized steel fasteners,Steel & Metals,Steel & Metals,3069,6617,194999,41,Pune Maharashtra,Pune Maharashtra,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,stainless steel fittings,Steel & Metals,Steel & Metals,2494,4852,216750,67,Pune Maharashtra,Pune,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,stainless steel fittings,Steel & Metals,Steel & Metals,3852,6063,814145,182,Chennai,Pune,30 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,hydraulic fittings,Steel & Metals,Logistics,2584,2684,206720,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,mechanical couplings,Steel & Metals,Raw Materials,587,687,46960,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,industrial machine parts,Steel & Metals,Raw Materials,2717,2817,217360,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,precision machined components,Steel & Metals,Textiles,3484,3584,278720,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,steel brackets,Steel & Metals,Steel & Metals,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial metal components,steel brackets,Steel & Metals,Steel & Metals,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,steel brackets,Steel & Metals,Steel & Metals,2815,4846,522967,132,Chennai,Pune,30 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,steel brackets,Steel & Metals,Steel & Metals,3618,5854,216583,53,Pune,Pune,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,industrial metal components,Steel & Metals,Steel & Metals,6451,13636,441759,50,Mumbai,Pune,21 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,industrial metal components,Steel & Metals,Steel & Metals,4931,10613,693534,95,Pune,Pune,21 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,5533,11776,815346,108,Chennai,Chennai,30 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,2502,4125,456976,172,Chennai,Chennai,21 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,galvanized steel fasteners,Steel & Metals,Steel & Metals,4571,7711,228263,45,Pune,Pune,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,galvanized steel fasteners,Steel & Metals,Steel & Metals,2609,4920,544081,188,Chennai,Pune,45 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,stainless steel fittings,Steel & Metals,Steel & Metals,2273,3837,74109,26,Pune Maharashtra,Pune Maharashtra,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,stainless steel fittings,Steel & Metals,Steel & Metals,6561,14078,1172186,134,Pune Maharashtra,Pune Maharashtra,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,corrugated cartons,Steel & Metals,Industrial Components,1240,1340,99200,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,industrial packaging boxes,Steel & Metals,Packaging,702,802,56160,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,protective packing material,Steel & Metals,Logistics,2457,2557,196560,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,custom cardboard cartons,Steel & Metals,Electronics,4965,5065,397200,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,steel brackets,Steel & Metals,Steel & Metals,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
steel and aluminum mechanical parts,steel brackets,Steel & Metals,Steel & Metals,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,steel brackets,Steel & Metals,Steel & Metals,7187,13733,1905417,172,Mumbai,Mumbai,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,steel brackets,Steel & Metals,Steel & Metals,665,1204,131916,158,Mumbai,Pune,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,industrial metal components,Steel & Metals,Steel & Metals,6100,12976,1295202,190,Chennai,Pune,14 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,industrial metal components,Steel & Metals,Steel & Metals,6100,10609,485636,52,Pune Maharashtra,Pune Maharashtra,14 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,2827,6127,347937,109,Pune,Pune,30 days,30 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,2594,4745,124593,43,Chennai,Chennai,21 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,galvanized steel fasteners,Steel & Metals,Steel & Metals,5706,7302,1441380,175,Mumbai,Pune,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,galvanized steel fasteners,Steel & Metals,Steel & Metals,3753,7943,199975,42,Pune,Pune,45 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,stainless steel fittings,Steel & Metals,Steel & Metals,4164,8948,733392,113,Pune,Pune,21 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,stainless steel fittings,Steel & Metals,Steel & Metals,1611,1887,243330,134,Pune,Pune,30 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,palletized freight handling,Steel & Metals,Logistics,1316,1416,105280,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,inland cargo transport,Steel & Metals,Raw Materials,3822,3922,305760,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,warehouse logistics service,Steel & Metals,Textiles,2444,2544,195520,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,road freight capacity,Steel & Metals,Raw Materials,3354,3454,268320,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,steel brackets,Steel & Metals,Steel & Metals,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
galvanized steel fasteners,steel brackets,Steel & Metals,Steel & Metals,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,steel brackets,Steel & Metals,Steel & Metals,6852,8054,237368,23,Pune Maharashtra,Pune Maharashtra,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,steel brackets,Steel & Metals,Steel & Metals,2244,3920,579803,187,Pune Maharashtra,Pune Maharashtra,45 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,industrial metal components,Steel & Metals,Steel & Metals,7448,13404,1091902,96,Mumbai,Pune,21 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,industrial metal components,Steel & Metals,Steel & Metals,2358,4498,446726,171,Pune,Pune,45 days,45 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,3183,6360,178730,46,Chennai,Pune,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,steel and aluminum mechanical parts,Steel & Metals,Steel & Metals,7407,10202,1014484,123,Pune,Pune,14 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,galvanized steel fasteners,Steel & Metals,Steel & Metals,1961,2179,137528,51,Chennai,Chennai,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,galvanized steel fasteners,Steel & Metals,Steel & Metals,3452,5627,796564,152,Pune,Pune,45 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,stainless steel fittings,Steel & Metals,Steel & Metals,7168,9582,606262,62,Pune Maharashtra,Pune Maharashtra,45 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,stainless steel fittings,Steel & Metals,Steel & Metals,869,1435,235944,180,Pune,Pune,14 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,polymer resin pellets,Steel & Metals,Logistics,946,1046,75680,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,industrial raw polymer,Steel & Metals,Raw Materials,4296,4396,343680,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,plastic granules,Steel & Metals,Packaging,4561,4661,364880,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,commodity resin,Steel & Metals,Packaging,4908,5008,392640,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,steel brackets,Steel & Metals,Steel & Metals,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
stainless steel fittings,steel brackets,Steel & Metals,Steel & Metals,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,printed circuit boards,Electronics,Electronics,6515,12680,1281067,133,Pune,Pune,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,printed circuit boards,Electronics,Electronics,2923,5951,427074,112,Mumbai,Pune,45 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,electronic control modules,Electronics,Electronics,5296,6412,663961,98,Pune,Pune,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,electronic control modules,Electronics,Electronics,4287,6115,458665,85,Pune,Pune,14 days,21 days nationwide,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,pcb assemblies,Electronics,Electronics,2726,5734,580347,173,Mumbai,Mumbai,21 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,pcb assemblies,Electronics,Electronics,4169,8233,767056,137,Pune,Pune,45 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,industrial sensors,Electronics,Electronics,2661,3413,514826,127,Pune,Pune,30 days,30 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,industrial sensors,Electronics,Electronics,5271,9933,213841,37,Mumbai,Mumbai,30 days,30 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,power supply units,Electronics,Electronics,1530,3015,210652,93,Chennai,Chennai,30 days,30 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,power supply units,Electronics,Electronics,1175,2031,84186,65,Pune,Pune,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,corrugated cartons,Electronics,Industrial Components,535,635,42800,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,industrial packaging boxes,Electronics,Textiles,2641,2741,211280,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,protective packing material,Electronics,Industrial Components,3556,3656,284480,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,custom cardboard cartons,Electronics,Raw Materials,3774,3874,301920,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,printed circuit boards,Electronics,Electronics,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
printed circuit boards,printed circuit boards,Electronics,Electronics,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,printed circuit boards,Electronics,Electronics,7400,11958,1664286,163,Chennai,Pune,14 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,printed circuit boards,Electronics,Electronics,1398,1608,191505,107,Chennai,Chennai,30 days,30 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,electronic control modules,Electronics,Electronics,5979,12454,702839,80,Chennai,Chennai,30 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,electronic control modules,Electronics,Electronics,3231,3978,975826,193,Pune Maharashtra,Pune Maharashtra,14 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,pcb assemblies,Electronics,Electronics,1459,2459,344756,151,Mumbai,Mumbai,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,pcb assemblies,Electronics,Electronics,4095,8946,128841,20,Pune,Pune,30 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,industrial sensors,Electronics,Electronics,7084,8431,1303842,134,Mumbai,Mumbai,14 days,21 days nationwide,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,industrial sensors,Electronics,Electronics,592,1183,74777,97,Pune Maharashtra,Pune Maharashtra,21 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,power supply units,Electronics,Electronics,4366,8507,897223,185,Pune,Pune,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,power supply units,Electronics,Electronics,7094,14276,306366,27,Mumbai,Mumbai,14 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,hydraulic fittings,Electronics,Raw Materials,906,1006,72480,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,mechanical couplings,Electronics,Logistics,4536,4636,362880,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,industrial machine parts,Electronics,Packaging,630,730,50400,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,precision machined components,Electronics,Textiles,1583,1683,126640,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,printed circuit boards,Electronics,Electronics,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
electronic control modules,printed circuit boards,Electronics,Electronics,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,printed circuit boards,Electronics,Electronics,1572,3054,402259,165,Mumbai,Pune,14 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,printed circuit boards,Electronics,Electronics,541,600,14966,20,Chennai,Chennai,45 days,45 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,electronic control modules,Electronics,Electronics,2289,2554,500009,140,Chennai,Chennai,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,electronic control modules,Electronics,Electronics,6648,7287,1312093,170,Mumbai,Mumbai,14 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,pcb assemblies,Electronics,Electronics,4283,7600,170197,35,Mumbai,Pune,45 days,45 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,pcb assemblies,Electronics,Electronics,618,1153,66780,68,Mumbai,Mumbai,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,industrial sensors,Electronics,Electronics,908,997,77158,59,Pune,Pune,45 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,industrial sensors,Electronics,Electronics,6276,13663,433150,53,Pune Maharashtra,Pune Maharashtra,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,power supply units,Electronics,Electronics,5273,6416,410277,64,Mumbai,Mumbai,45 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,power supply units,Electronics,Electronics,2431,5182,374138,136,Mumbai,Mumbai,21 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,cotton fabric rolls,Electronics,Steel & Metals,1082,1182,86560,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,industrial textile material,Electronics,Steel & Metals,4880,4980,390400,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,woven cotton cloth,Electronics,Packaging,4765,4865,381200,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,polyester fabric,Electronics,Packaging,920,1020,73600,50,Pune,Delhi,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,printed circuit boards,Electronics,Electronics,5000,1000,800000,120,Pune,Pune,30 days,14 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
pcb assemblies,printed circuit boards,Electronics,Electronics,2000,9000,50000,80,Pune,Pune,10 days,30 days,0,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,printed circuit boards,Electronics,Electronics,5110,8955,693465,97,Pune,Pune,45 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,printed circuit boards,Electronics,Electronics,3565,6155,488186,128,Pune Maharashtra,Pune Maharashtra,21 days,10 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,electronic control modules,Electronics,Electronics,1609,2748,131407,60,Mumbai,Mumbai,30 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,electronic control modules,Electronics,Electronics,5359,7575,463713,64,Pune Maharashtra,Pune Maharashtra,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,pcb assemblies,Electronics,Electronics,4447,7291,543582,84,Pune,Pune,30 days,30 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,pcb assemblies,Electronics,Electronics,7407,12209,615969,68,Chennai,Chennai,45 days,14 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,industrial sensors,Electronics,Electronics,812,919,49145,40,Pune,Pune,45 days,7 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
industrial sensors,industrial sensors,Electronics,Electronics,2604,3252,573480,151,Pune,Pune,21 days,21 days nationwide,1,"positive only if same category family, quantity sufficient, estimated cost within budget, and delivery days <= required days"
